C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/27/2019,00:00:00,REGULAR,0006128787,0008274890                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/27/2019,04:00:00,REGULAR,0006128811,0008274897                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/27/2019,08:00:00,REGULAR,0006128852,0008275230                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/27/2019,12:00:00,REGULAR,0006129040,0008275826                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/27/2019,16:00:00,REGULAR,0006129315,0008276037                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/27/2019,20:00:00,REGULAR,0006129897,0008276381                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/28/2019,00:00:00,REGULAR,0006130113,0008276507                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/28/2019,04:00:00,REGULAR,0006130136,0008276514                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/28/2019,08:00:00,REGULAR,0006130180,0008276801                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/28/2019,12:00:00,REGULAR,0006130366,0008277410                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/28/2019,16:00:00,REGULAR,0006130645,0008277609                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/28/2019,20:00:00,REGULAR,0006131210,0008277863                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/29/2019,00:00:00,REGULAR,0006131419,0008277989                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/29/2019,04:00:00,REGULAR,0006131440,0008278002                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/29/2019,08:00:00,REGULAR,0006131481,0008278257                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/29/2019,09:48:50,REGULAR,0006131560,0008278640                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/29/2019,11:01:44,REGULAR,0006131613,0008278770                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/29/2019,12:00:00,REGULAR,0006131667,0008278837                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/29/2019,16:00:00,REGULAR,0006132005,0008279035                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/29/2019,20:00:00,REGULAR,0006132562,0008279297                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,03/23/2019,00:00:00,REGULAR,0005686605,0006548389                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,03/23/2019,04:00:00,REGULAR,0005686631,0006548401                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,03/23/2019,08:00:00,REGULAR,0005686643,0006548459                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,03/23/2019,12:00:00,REGULAR,0005686755,0006548610                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,03/23/2019,16:00:00,REGULAR,0005686948,0006548718                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,03/23/2019,20:00:00,REGULAR,0005687229,0006548815                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,03/24/2019,00:00:00,REGULAR,0005687369,0006548859                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,03/24/2019,04:00:00,REGULAR,0005687384,0006548866                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,03/24/2019,08:00:00,REGULAR,0005687394,0006548902                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,03/24/2019,12:00:00,REGULAR,0005687472,0006549017                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,03/24/2019,16:00:00,REGULAR,0005687646,0006549118                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,03/24/2019,20:00:00,REGULAR,0005687853,0006549198                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,03/25/2019,00:00:00,REGULAR,0005687968,0006549234                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,03/25/2019,04:00:00,REGULAR,0005687976,0006549238                                            
